source,text
Amazon,This product is absolutely amazing! Best purchase ever. Totally worth the money.
Amazon,Terrible quality. Complete waste of money. Very disappointed with this purchase.
Amazon,The product arrived on time and was packed well. Nothing special though.
Amazon,I love this product! Works perfectly and looks great. Highly recommended!
Amazon,Worst product I have ever bought. Stopped working after 2 days. Never buying again.
Amazon,Decent product for the price. Does what it says. Average quality.
Amazon,Exceeded my expectations! Great build quality and fast delivery. Very happy!
Amazon,Not worth the price. Poor quality materials. Expected much better.
Amazon,Okay product. Nothing great nothing terrible. Just average.
Amazon,Absolutely love it! Using it every day. Best decision ever!
Social Media,Just tried this new phone and I am completely obsessed with it!
Social Media,This airline ruined my entire vacation. Worst experience of my life.
Social Media,Watched the new movie last night. It was okay I guess.
Social Media,Cannot believe how good this restaurant is! Best food in the city!
Social Media,So frustrated with this app. Crashes every single time I open it.
Social Media,The weather today is cloudy with a chance of rain.
Social Media,This song is absolutely beautiful. Been listening on repeat all day.
Social Media,Horrible customer service. They ignored my complaint completely.
Social Media,My package arrived today. It was in a brown box.
Social Media,This gym is life changing! Feel so much healthier and happier now.
News,The government announced new economic policies aimed at reducing inflation.
News,Stock markets crashed today wiping out billions in investor wealth.
News,The local team won the championship bringing joy to the entire city.
News,Scientists discover breakthrough cancer treatment giving hope to millions.
News,Massive flood destroys hundreds of homes leaving families homeless.
News,New study shows meditation improves mental health and reduces stress.
News,Company announces massive layoffs affecting thousands of employees.
News,Young entrepreneur wins national award for outstanding innovation.
News,Crime rates have increased significantly in the city this year.
News,New park opens in the city providing green space for residents.